cimento,fck,fcj,ac,slump,dmax,agua,consumo_cimento,consumo_brita,consumo_areia,ar_incorporado,teor_argamassa
CP II 40,10,16.6,0.77,130,9.5,190,246.75,1057,857.48,2,51
CP II 40,10,16.6,0.77,140,9.5,195,253.25,1051,844.56,2,51
CP II 40,10,16.6,0.77,70,12.5,148,192.21,1107,966.4,2,51
CP II 40,10,16.6,0.77,80,12.5,155,201.3,1099,947.93,2,51
CP II 40,10,16.6,0.77,90,12.5,161,209.09,1093,931.27,2,51
CP II 40,10,16.6,0.77,100,12.5,167,216.88,1085.67,915.9,2,51
CP II 40,10,16.6,0.77,110,12.5,173,224.68,1078.67,900.2,2,51
CP II 40,10,16.6,0.77,120,12.5,180,233.77,1070,882.37,2,51
CP II 40,10,16.6,0.77,130,12.5,186,241.56,1063,866.67,2,51
CP II 40,10,16.6,0.77,140,12.5,192,249.35,1056,850.97,2,51
CP II 40,10,16.6,0.77,70,19,142,184.42,1116,980.18,2,51
CP II 40,10,16.6,0.77,80,19,149,193.51,1106,963.62,2,51
CP II 40,10,16.6,0.77,90,19,156,202.6,1098,945.15,2,51
CP II 40,10,16.6,0.77,100,19,163,211.69,1091,925.72,2,51
CP II 40,10,16.6,0.77,110,19,169,219.48,1082,911.94,2,51
CP II 40,10,16.6,0.77,120,19,176,228.57,1074,893.47,2,51
CP II 40,10,16.6,0.77,130,19,183,237.66,1065,875.95,2,51
CP II 40,10,16.6,0.77,140,19,190,246.75,1057,857.48,2,51
CP II 40,10,16.6,0.77,70,25,133,172.73,1127,1003.25,2,51
CP II 40,10,16.6,0.77,80,25,140,181.82,1118,985.73,2,51
CP II 40,10,16.6,0.77,90,25,148,192.21,1109,964.49,2,51
CP II 40,10,16.6,0.77,100,25,155,201.3,1100,946.97,2,51
CP II 40,10,16.6,0.77,110,25,163,211.69,1091,925.72,2,51
CP II 40,10,16.6,0.77,120,25,170,220.78,1082,908.21,2,51
CP II 40,10,16.6,0.77,130,25,178,231.17,1073,886.96,2,51
CP II 40,10,16.6,0.77,140,25,185,240.26,1064,869.45,2,51
CP II 40,10,16.6,0.77,70,9.5,160,207.79,1116,913.01,2,50
CP II 40,10,16.6,0.77,80,9.5,165,214.29,1110,900.09,2,50
CP II 40,10,16.6,0.77,90,9.5,170,220.78,1104,887.17,2,50
CP II 40,10,16.6,0.77,100,9.5,175,227.27,1098,874.25,2,50
CP II 40,10,16.6,0.77,110,9.5,180,233.77,1092,861.33,2,50
CP II 40,10,16.6,0.77,120,9.5,185,240.26,1086,848.41,2,50
CP II 40,10,16.6,0.77,130,9.5,190,246.75,1080,835.49,2,50
CP II 40,10,16.6,0.77,140,9.5,195,253.25,1074,822.56,2,50
CP II 40,10,16.6,0.77,70,12.5,148,192.21,1132,942.49,2,50
CP II 40,10,16.6,0.77,80,12.5,155,201.3,1123,924.97,2,50
CP II 40,10,16.6,0.77,90,12.5,161,209.09,1116,909.28,2,50
CP II 40,10,16.6,0.77,100,12.5,167,216.88,1108,894.54,2,50
CP II 40,10,16.6,0.77,110,12.5,173,224.68,1100,879.8,2,50
CP II 40,10,16.6,0.77,120,12.5,180,233.77,1093,860.37,2,50
CP II 40,10,16.6,0.77,130,12.5,186,241.56,1084,846.59,2,50
CP II 40,10,16.6,0.77,140,12.5,192,249.35,1078,829.93,2,50
CP II 40,10,16.6,0.77,70,19,142,184.42,1139,958.19,2,50
CP II 40,10,16.6,0.77,80,19,149,193.51,1131,939.71,2,50
CP II 40,10,16.6,0.77,90,19,156,202.6,1122,922.2,2,50
CP II 40,10,16.6,0.77,100,19,163,211.69,1113.67,904.05,2,50
CP II 40,10,16.6,0.77,110,19,169,219.48,1105.17,889.78,2,50
CP II 40,10,16.6,0.77,120,19,176,228.57,1096.67,871.79,2,50
CP II 40,10,16.6,0.77,130,19,183,237.66,1088.17,853.8,2,50
CP II 40,10,16.6,0.77,140,19,190,246.75,1079.67,835.8,2,50
CP II 40,10,16.6,0.77,70,25,133,172.73,1149,982.21,2,50
CP II 40,10,16.6,0.77,80,25,140,181.82,1141,963.74,2,50
CP II 40,10,16.6,0.77,90,25,148,192.21,1132,942.49,2,50
CP II 40,10,16.6,0.77,100,25,155,201.3,1123.67,924.34,2,50
CP II 40,10,16.6,0.77,110,25,163,211.69,1114,903.73,2,50
CP II 40,10,16.6,0.77,120,25,170,220.78,1104,887.17,2,50
CP II 40,10,16.6,0.77,130,25,178,231.17,1094,866.88,2,50
CP II 40,10,16.6,0.77,140,25,185,240.26,1086,848.41,2,50
CP II 40,10,16.6,0.77,70,9.5,160,207.79,1139,891.01,2,49
CP II 40,10,16.6,0.77,80,9.5,165,214.29,1134,877.14,2,49
CP II 40,10,16.6,0.77,90,9.5,170,220.78,1127,865.17,2,49
CP II 40,10,16.6,0.77,100,9.5,175,227.27,1121.33,851.93,2,49
CP II 40,10,16.6,0.77,110,9.5,180,233.77,1115.33,839.01,2,49
CP II 40,10,16.6,0.77,120,9.5,185,240.26,1107,828.32,2,49
CP II 40,10,16.6,0.77,130,9.5,190,246.75,1101,815.4,2,49
CP II 40,10,16.6,0.77,140,9.5,195,253.25,1095,802.48,2,49
CP II 40,10,16.6,0.77,70,12.5,148,192.21,1154,921.45,2,49
CP II 40,10,16.6,0.77,80,12.5,155,201.3,1146,902.98,2,49
CP II 40,10,16.6,0.77,90,12.5,161,209.09,1138,888.24,2,49
CP II 40,10,16.6,0.77,100,12.5,167,216.88,1130,873.5,2,49
CP II 40,10,16.6,0.77,110,12.5,173,224.68,1124,856.85,2,49
CP II 40,10,16.6,0.77,120,12.5,180,233.77,1114,840.29,2,49
CP II 40,10,16.6,0.77,130,12.5,186,241.56,1106,825.55,2,49
CP II 40,10,16.6,0.77,140,12.5,192,249.35,1100,808.89,2,49
CP II 40,10,16.6,0.77,70,19,142,184.42,1161,937.15,2,49
CP II 40,10,16.6,0.77,80,19,149,193.51,1154,917.72,2,49
CP II 40,10,16.6,0.77,90,19,156,202.6,1144,901.16,2,49
CP II 40,10,16.6,0.77,100,19,163,211.69,1136,882.69,2,49
CP II 40,10,16.6,0.77,110,19,169,219.48,1127.5,868.43,2,49
CP II 40,10,16.6,0.77,120,19,176,228.57,1119,850.43,2,49
CP II 40,10,16.6,0.77,130,19,183,237.66,1110.5,832.44,2,49
CP II 40,10,16.6,0.77,140,19,190,246.75,1102,814.45,2,49
CP II 40,10,16.6,0.77,70,25,133,172.73,1173,959.26,2,49
CP II 40,10,16.6,0.77,80,25,140,181.82,1165,940.78,2,49
CP II 40,10,16.6,0.77,90,25,148,192.21,1154,921.45,2,49
CP II 40,10,16.6,0.77,100,25,155,201.3,1145,903.93,2,49
CP II 40,10,16.6,0.77,110,25,163,211.69,1135.5,883.17,2,49
CP II 40,10,16.6,0.77,120,25,170,220.78,1126,866.13,2,49
CP II 40,10,16.6,0.77,130,25,178,231.17,1116.5,845.36,2,49
CP II 40,10,16.6,0.77,140,25,185,240.26,1107,828.32,2,49
CP II 40,10,16.6,0.77,70,9.5,160,207.79,1163,868.06,2,48
CP II 40,10,16.6,0.77,80,9.5,165,214.29,1156,856.1,2,48
CP II 40,10,16.6,0.77,90,9.5,170,220.78,1149,844.13,2,48
CP II 40,10,16.6,0.77,100,9.5,175,227.27,1144,830.25,2,48
CP II 40,10,16.6,0.77,110,9.5,180,233.77,1137,818.29,2,48
CP II 40,10,16.6,0.77,120,9.5,185,240.26,1130,806.33,2,48
CP II 40,10,16.6,0.77,130,9.5,190,246.75,1123,794.36,2,48
CP II 40,10,16.6,0.77,140,9.5,195,253.25,1118,780.48,2,48
CP II 40,10,16.6,0.77,70,12.5,148,192.21,1178,898.5,2,48
CP II 40,10,16.6,0.77,80,12.5,155,201.3,1170,880.03,2,48
CP II 40,10,16.6,0.77,90,12.5,161,209.09,1160,867.2,2,48
CP II 40,10,16.6,0.77,100,12.5,167,216.88,1153,851.5,2,48
CP II 40,10,16.6,0.77,110,12.5,173,224.68,1145,836.76,2,48
CP II 40,10,16.6,0.77,120,12.5,180,233.77,1136,819.25,2,48
CP II 40,10,16.6,0.77,130,12.5,186,241.56,1128,804.51,2,48
CP II 40,10,16.6,0.77,140,12.5,192,249.35,1121,788.81,2,48
CP II 40,10,16.6,0.77,70,19,142,184.42,1186,913.24,2,48
CP II 40,10,16.6,0.77,80,19,149,193.51,1176,896.68,2,48
CP II 40,10,16.6,0.77,90,19,156,202.6,1168,878.21,2,48
CP II 40,10,16.6,0.77,100,19,163,211.69,1158.67,861.01,2,48
CP II 40,10,16.6,0.77,110,19,169,219.48,1152,844.99,2,48
CP II 40,10,16.6,0.77,120,19,176,228.57,1143,827.48,2,48
CP II 40,10,16.6,0.77,130,19,183,237.66,1134,809.96,2,48
CP II 40,10,16.6,0.77,140,19,190,246.75,1125,792.45,2,48
CP II 40,10,16.6,0.77,70,25,133,172.73,1196,937.26,2,48
CP II 40,10,16.6,0.77,80,25,140,181.82,1188,918.79,2,48
CP II 40,10,16.6,0.77,90,25,148,192.21,1178,898.5,2,48
CP II 40,10,16.6,0.77,100,25,155,201.3,1169.33,880.66,2,48
CP II 40,10,16.6,0.77,110,25,163,211.69,1158,861.65,2,48
CP II 40,10,16.6,0.77,120,25,170,220.78,1149,844.13,2,48
CP II 40,10,16.6,0.77,130,25,178,231.17,1140,822.88,2,48
CP II 40,10,16.6,0.77,140,25,185,240.26,1131,805.37,2,48
CP II 40,10,16.6,0.77,70,9.5,160,207.79,1185,847.02,2,47
CP II 40,10,16.6,0.77,80,9.5,165,214.29,1179,834.1,2,47
CP II 40,10,16.6,0.77,90,9.5,170,220.78,1173,821.18,2,47
CP II 40,10,16.6,0.77,100,9.5,175,227.27,1165,810.17,2,47
CP II 40,10,16.6,0.77,110,9.5,180,233.77,1159,797.25,2,47
CP II 40,10,16.6,0.77,120,9.5,185,240.26,1153,784.33,2,47
CP II 40,10,16.6,0.77,130,9.5,190,246.75,1147,771.41,2,47
CP II 40,10,16.6,0.77,140,9.5,195,253.25,1140,759.44,2,47
CP II 40,10,16.6,0.77,70,12.5,148,192.21,1200,877.46,2,47
CP II 40,10,16.6,0.77,80,12.5,155,201.3,1192,858.99,2,47
CP II 40,10,16.6,0.77,90,12.5,161,209.09,1184,844.25,2,47
CP II 40,10,16.6,0.77,100,12.5,167,216.88,1176,829.51,2,47
CP II 40,10,16.6,0.77,110,12.5,173,224.68,1168,814.77,2,47
CP II 40,10,16.6,0.77,120,12.5,180,233.77,1160,796.29,2,47
CP II 40,10,16.6,0.77,130,12.5,186,241.56,1152,781.55,2,47
CP II 40,10,16.6,0.77,140,12.5,192,249.35,1144,766.81,2,47
CP II 40,10,16.6,0.77,70,19,142,184.42,1208,892.2,2,47
CP II 40,10,16.6,0.77,80,19,149,193.51,1200,873.73,2,47
CP II 40,10,16.6,0.77,90,19,156,202.6,1190,857.17,2,47
CP II 40,10,16.6,0.77,100,19,163,211.69,1181.33,839.33,2,47
CP II 40,10,16.6,0.77,110,19,169,219.48,1174,823.95,2,47
CP II 40,10,16.6,0.77,120,19,176,228.57,1165,806.44,2,47
CP II 40,10,16.6,0.77,130,19,183,237.66,1154.33,790.52,2,47
CP II 40,10,16.6,0.77,140,19,190,246.75,1145.33,773,2,47
CP II 40,10,16.6,0.77,70,25,133,172.73,1220,914.31,2,47
CP II 40,10,16.6,0.77,80,25,140,181.82,1212,895.84,2,47
CP II 40,10,16.6,0.77,90,25,148,192.21,1202,875.54,2,47
CP II 40,10,16.6,0.77,100,25,155,201.3,1191,859.94,2,47
CP II 40,10,16.6,0.77,110,25,163,211.69,1182,838.69,2,47
CP II 40,10,16.6,0.77,120,25,170,220.78,1173,821.18,2,47
CP II 40,10,16.6,0.77,130,25,178,231.17,1161,802.8,2,47
CP II 40,10,16.6,0.77,140,25,185,240.26,1153,784.33,2,47
CP II 40,10,16.6,0.77,70,9.5,160,207.79,1208,825.02,2,46
CP II 40,10,16.6,0.77,80,9.5,165,214.29,1202,812.1,2,46
CP II 40,10,16.6,0.77,90,9.5,170,220.78,1196,799.18,2,46
CP II 40,10,16.6,0.77,100,9.5,175,227.27,1188,788.17,2,46
CP II 40,10,16.6,0.77,110,9.5,180,233.77,1182,775.25,2,46
CP II 40,10,16.6,0.77,120,9.5,185,240.26,1176,762.33,2,46
CP II 40,10,16.6,0.77,130,9.5,190,246.75,1168,751.33,2,46
CP II 40,10,16.6,0.77,140,9.5,195,253.25,1162,738.4,2,46
CP II 40,10,16.6,0.77,70,12.5,148,192.21,1224,854.5,2,46
CP II 40,10,16.6,0.77,80,12.5,155,201.3,1216,836.03,2,46
CP II 40,10,16.6,0.77,90,12.5,161,209.09,1208,821.29,2,46
CP II 40,10,16.6,0.77,100,12.5,167,216.88,1200,806.55,2,46
CP II 40,10,16.6,0.77,110,12.5,173,224.68,1192,791.81,2,46
CP II 40,10,16.6,0.77,120,12.5,180,233.77,1182,775.25,2,46
CP II 40,10,16.6,0.77,130,12.5,186,241.56,1174,760.51,2,46
CP II 40,10,16.6,0.77,140,12.5,192,249.35,1166,745.77,2,46
CP II 40,10,16.6,0.77,70,19,142,184.42,1232,869.24,2,46
CP II 40,10,16.6,0.77,80,19,149,193.51,1224,850.77,2,46
CP II 40,10,16.6,0.77,90,19,156,202.6,1214,834.21,2,46
CP II 40,10,16.6,0.77,100,19,163,211.69,1205.33,816.38,2,46
CP II 40,10,16.6,0.77,110,19,169,219.48,1196.33,802.6,2,46
CP II 40,10,16.6,0.77,120,19,176,228.57,1187.33,785.08,2,46
CP II 40,10,16.6,0.77,130,19,183,237.66,1178.33,767.57,2,46
CP II 40,10,16.6,0.77,140,19,190,246.75,1169.33,750.05,2,46
CP II 40,10,16.6,0.77,70,25,133,172.73,1244,891.35,2,46
CP II 40,10,16.6,0.77,80,25,140,181.82,1236,872.88,2,46
CP II 40,10,16.6,0.77,90,25,148,192.21,1224,854.5,2,46
CP II 40,10,16.6,0.77,100,25,155,201.3,1214.67,837.31,2,46
CP II 40,10,16.6,0.77,110,25,163,211.69,1204.67,817.02,2,46
CP II 40,10,16.6,0.77,120,25,170,220.78,1194.67,800.46,2,46
CP II 40,10,16.6,0.77,130,25,178,231.17,1184.67,780.17,2,46
CP II 40,10,16.6,0.77,140,25,185,240.26,1174.67,763.61,2,46
CP II 40,10,16.6,0.77,70,9.5,160,207.79,1232,802.07,2,45
CP II 40,10,16.6,0.77,80,9.5,165,214.29,1224,791.06,2,45
CP II 40,10,16.6,0.77,90,9.5,170,220.78,1218,778.14,2,45
CP II 40,10,16.6,0.77,100,9.5,175,227.27,1210.67,766.5,2,45
CP II 40,10,16.6,0.77,110,9.5,180,233.77,1203.67,754.53,2,45
CP II 40,10,16.6,0.77,120,9.5,185,240.26,1196.67,742.57,2,45
CP II 40,10,16.6,0.77,130,9.5,190,246.75,1189.67,730.6,2,45
CP II 40,10,16.6,0.77,140,9.5,195,253.25,1184,717.36,2,45
CP II 40,10,16.6,0.77,70,12.5,148,192.21,1248,831.55,2,45
CP II 40,10,16.6,0.77,80,12.5,155,201.3,1238,814.99,2,45
CP II 40,10,16.6,0.77,90,12.5,161,209.09,1230,800.25,2,45
CP II 40,10,16.6,0.77,100,12.5,167,216.88,1222,785.51,2,45
CP II 40,10,16.6,0.77,110,12.5,173,224.68,1214,770.77,2,45
CP II 40,10,16.6,0.77,120,12.5,180,233.77,1205,753.26,2,45
CP II 40,10,16.6,0.77,130,12.5,186,241.56,1196,739.47,2,45
CP II 40,10,16.6,0.77,140,12.5,192,249.35,1187,725.69,2,45
CP II 40,10,16.6,0.77,70,19,142,184.42,1255,847.25,2,45
CP II 40,10,16.6,0.77,80,19,149,193.51,1246,829.73,2,45
CP II 40,10,16.6,0.77,90,19,156,202.6,1237,812.22,2,45
CP II 40,10,16.6,0.77,100,19,163,211.69,1228,794.7,2,45
CP II 40,10,16.6,0.77,110,19,169,219.48,1219,780.92,2,45
CP II 40,10,16.6,0.77,120,19,176,228.57,1210,763.4,2,45
CP II 40,10,16.6,0.77,130,19,183,237.66,1201,745.89,2,45
CP II 40,10,16.6,0.77,140,19,190,246.75,1190,730.29,2,45
CP II 40,10,16.6,0.77,70,25,133,172.73,1268,868.4,2,45
CP II 40,10,16.6,0.77,80,25,140,181.82,1258,851.84,2,45
CP II 40,10,16.6,0.77,90,25,148,192.21,1248,831.55,2,45
CP II 40,10,16.6,0.77,100,25,155,201.3,1238,814.99,2,45
CP II 40,10,16.6,0.77,110,25,163,211.69,1228,794.7,2,45
CP II 40,10,16.6,0.77,120,25,170,220.78,1218,778.14,2,45
CP II 40,10,16.6,0.77,130,25,178,231.17,1208,757.85,2,45
CP II 40,10,16.6,0.77,140,25,185,240.26,1198,741.29,2,45
CP II 40,15,21.6,0.68,70,9.5,160,235.29,889,1106.77,2,60
CP II 40,15,21.6,0.68,80,9.5,165,242.65,883,1093.12,2,60
CP II 40,15,21.6,0.68,90,9.5,170,250,879,1077.56,2,60
CP II 40,15,21.6,0.68,100,9.5,175,257.35,873.67,1063.27,2,60
CP II 40,15,21.6,0.68,110,9.5,180,264.71,868.67,1048.67,2,60
CP II 40,15,21.6,0.68,120,9.5,185,272.06,863.67,1034.06,2,60
CP II 40,15,21.6,0.68,130,9.5,190,279.41,858.67,1019.45,2,60
CP II 40,15,21.6,0.68,140,9.5,195,286.76,853.67,1004.85,2,60
CP II 40,15,21.6,0.68,70,12.5,148,217.65,901,1141.83,2,60
CP II 40,15,21.6,0.68,80,12.5,155,227.94,894,1121.38,2,60
CP II 40,15,21.6,0.68,90,12.5,161,236.76,887,1104.81,2,60
CP II 40,15,21.6,0.68,100,12.5,167,245.59,882,1086.32,2,60
CP II 40,15,21.6,0.68,110,12.5,173,254.41,875,1069.75,2,60
CP II 40,15,21.6,0.68,120,12.5,180,264.71,868,1049.3,2,60
CP II 40,15,21.6,0.68,130,12.5,186,273.53,862,1031.78,2,60
CP II 40,15,21.6,0.68,140,12.5,192,282.35,858,1012.34,2,60
CP II 40,15,21.6,0.68,70,19,142,208.82,906,1160.31,2,60
CP II 40,15,21.6,0.68,80,19,149,219.12,900,1138.91,2,60
CP II 40,15,21.6,0.68,90,19,156,229.41,892,1119.41,2,60
CP II 40,15,21.6,0.68,100,19,163,239.71,885.33,1098.65,2,60
CP II 40,15,21.6,0.68,110,19,169,248.53,880,1080.48,2,60
CP II 40,15,21.6,0.68,120,19,176,258.82,873,1060.03,2,60
CP II 40,15,21.6,0.68,130,19,183,269.12,866,1039.58,2,60
CP II 40,15,21.6,0.68,140,19,190,279.41,859,1019.13,2,60
CP II 40,15,21.6,0.68,70,25,133,195.59,916,1185.65,2,60
CP II 40,15,21.6,0.68,80,25,140,205.88,908,1166.15,2,60
CP II 40,15,21.6,0.68,90,25,148,217.65,900,1142.78,2,60
CP II 40,15,21.6,0.68,100,25,155,227.94,894,1121.38,2,60
CP II 40,15,21.6,0.68,110,25,163,239.71,886,1098.01,2,60
CP II 40,15,21.6,0.68,120,25,170,250,878,1078.52,2,60
CP II 40,15,21.6,0.68,130,25,178,261.76,870,1055.15,2,60
CP II 40,15,21.6,0.68,140,25,185,272.06,864,1033.74,2,60
CP II 40,15,21.6,0.68,70,9.5,160,235.29,911,1085.73,2,59
CP II 40,15,21.6,0.68,80,9.5,165,242.65,906,1071.13,2,59
CP II 40,15,21.6,0.68,90,9.5,170,250,901,1056.52,2,59
CP II 40,15,21.6,0.68,100,9.5,175,257.35,896,1041.91,2,59
CP II 40,15,21.6,0.68,110,9.5,180,264.71,891,1027.31,2,59
CP II 40,15,21.6,0.68,120,9.5,185,272.06,886,1012.7,2,59
CP II 40,15,21.6,0.68,130,9.5,190,279.41,881,998.09,2,59
CP II 40,15,21.6,0.68,140,9.5,195,286.76,876,983.49,2,59
CP II 40,15,21.6,0.68,70,12.5,148,217.65,924,1119.83,2,59
CP II 40,15,21.6,0.68,80,12.5,155,227.94,916,1100.34,2,59
CP II 40,15,21.6,0.68,90,12.5,161,236.76,910,1082.81,2,59
CP II 40,15,21.6,0.68,100,12.5,167,245.59,905,1064.33,2,59
CP II 40,15,21.6,0.68,110,12.5,173,254.41,898,1047.76,2,59
CP II 40,15,21.6,0.68,120,12.5,180,264.71,892,1026.35,2,59
CP II 40,15,21.6,0.68,130,12.5,186,273.53,884,1010.74,2,59
CP II 40,15,21.6,0.68,140,12.5,192,282.35,878,993.21,2,59
CP II 40,15,21.6,0.68,70,19,142,208.82,930,1137.36,2,59
CP II 40,15,21.6,0.68,80,19,149,219.12,922,1117.87,2,59
CP II 40,15,21.6,0.68,90,19,156,229.41,916,1096.46,2,59
CP II 40,15,21.6,0.68,100,19,163,239.71,908.67,1076.33,2,59
CP II 40,15,21.6,0.68,110,19,169,248.53,901.67,1059.76,2,59
CP II 40,15,21.6,0.68,120,19,176,258.82,894.67,1039.31,2,59
CP II 40,15,21.6,0.68,130,19,183,269.12,887.67,1018.86,2,59
CP II 40,15,21.6,0.68,140,19,190,279.41,880.67,998.41,2,59
CP II 40,15,21.6,0.68,70,25,133,195.59,938,1164.61,2,59
CP II 40,15,21.6,0.68,80,25,140,205.88,932,1143.2,2,59
CP II 40,15,21.6,0.68,90,25,148,217.65,924,1119.83,2,59
CP II 40,15,21.6,0.68,100,25,155,227.94,917.33,1099.06,2,59
CP II 40,15,21.6,0.68,110,25,163,239.71,909,1076.01,2,59
CP II 40,15,21.6,0.68,120,25,170,250,901,1056.52,2,59
CP II 40,15,21.6,0.68,130,25,178,261.76,894,1032.19,2,59
CP II 40,15,21.6,0.68,140,25,185,272.06,886,1012.7,2,59
CP II 40,15,21.6,0.68,70,9.5,160,235.29,934,1063.74,2,58
CP II 40,15,21.6,0.68,80,9.5,165,242.65,928,1050.09,2,58
CP II 40,15,21.6,0.68,90,9.5,170,250,924,1034.52,2,58
CP II 40,15,21.6,0.68,100,9.5,175,257.35,918.67,1020.24,2,58
CP II 40,15,21.6,0.68,110,9.5,180,264.71,913.67,1005.63,2,58
CP II 40,15,21.6,0.68,120,9.5,185,272.06,908.67,991.02,2,58
CP II 40,15,21.6,0.68,130,9.5,190,279.41,903.67,976.42,2,58
CP II 40,15,21.6,0.68,140,9.5,195,286.76,898.67,961.81,2,58
CP II 40,15,21.6,0.68,70,12.5,148,217.65,947,1097.83,2,58
CP II 40,15,21.6,0.68,80,12.5,155,227.94,938,1079.3,2,58
CP II 40,15,21.6,0.68,90,12.5,161,236.76,932,1061.77,2,58
CP II 40,15,21.6,0.68,100,12.5,167,245.59,926,1044.24,2,58
CP II 40,15,21.6,0.68,110,12.5,173,254.41,920,1026.72,2,58
CP II 40,15,21.6,0.68,120,12.5,180,264.71,913,1006.27,2,58
CP II 40,15,21.6,0.68,130,12.5,186,273.53,908,987.78,2,58
CP II 40,15,21.6,0.68,140,12.5,192,282.35,901,971.21,2,58
CP II 40,15,21.6,0.68,70,19,142,208.82,953,1115.36,2,58
CP II 40,15,21.6,0.68,80,19,149,219.12,946,1094.91,2,58
CP II 40,15,21.6,0.68,90,19,156,229.41,938,1075.42,2,58
CP II 40,15,21.6,0.68,100,19,163,239.71,930.67,1055.29,2,58
CP II 40,15,21.6,0.68,110,19,169,248.53,925,1037.44,2,58
CP II 40,15,21.6,0.68,120,19,176,258.82,918,1017,2,58
CP II 40,15,21.6,0.68,130,19,183,269.12,910,997.5,2,58
CP II 40,15,21.6,0.68,140,19,190,279.41,903,977.05,2,58
CP II 40,15,21.6,0.68,70,25,133,195.59,961,1142.61,2,58
CP II 40,15,21.6,0.68,80,25,140,205.88,954,1122.16,2,58
CP II 40,15,21.6,0.68,90,25,148,217.65,946,1098.79,2,58
CP II 40,15,21.6,0.68,100,25,155,227.94,938.67,1078.66,2,58
CP II 40,15,21.6,0.68,110,25,163,239.71,931.17,1054.81,2,58
CP II 40,15,21.6,0.68,120,25,170,250,923.67,1034.84,2,58
CP II 40,15,21.6,0.68,130,25,178,261.76,916.17,1010.99,2,58
CP II 40,15,21.6,0.68,140,25,185,272.06,908.67,991.02,2,58
CP II 40,15,21.6,0.68,70,9.5,160,235.29,957,1041.74,2,57
CP II 40,15,21.6,0.68,80,9.5,165,242.65,951,1028.09,2,57
CP II 40,15,21.6,0.68,90,9.5,170,250,946,1013.48,2,57
CP II 40,15,21.6,0.68,100,9.5,175,257.35,940.33,999.51,2,57
CP II 40,15,21.6,0.68,110,9.5,180,264.71,934.83,985.39,2,57
CP II 40,15,21.6,0.68,120,9.5,185,272.06,929.33,971.26,2,57
CP II 40,15,21.6,0.68,130,9.5,190,279.41,926,955.06,2,57
CP II 40,15,21.6,0.68,140,9.5,195,286.76,920,941.41,2,57
CP II 40,15,21.6,0.68,70,12.5,148,217.65,969,1076.79,2,57
CP II 40,15,21.6,0.68,80,12.5,155,227.94,963,1055.39,2,57
CP II 40,15,21.6,0.68,90,12.5,161,236.76,956,1038.82,2,57
CP II 40,15,21.6,0.68,100,12.5,167,245.59,949.67,1021.61,2,57
CP II 40,15,21.6,0.68,110,12.5,173,254.41,943.17,1004.56,2,57
CP II 40,15,21.6,0.68,120,12.5,180,264.71,936.67,983.63,2,57
CP II 40,15,21.6,0.68,130,12.5,186,273.53,930.17,966.58,2,57
CP II 40,15,21.6,0.68,140,12.5,192,282.35,923.67,949.53,2,57
CP II 40,15,21.6,0.68,70,19,142,208.82,976,1093.37,2,57
CP II 40,15,21.6,0.68,80,19,149,219.12,969,1072.92,2,57
CP II 40,15,21.6,0.68,90,19,156,229.41,961,1053.42,2,57
CP II 40,15,21.6,0.68,100,19,163,239.71,953.67,1033.29,2,57
CP II 40,15,21.6,0.68,110,19,169,248.53,946.17,1017.2,2,57
CP II 40,15,21.6,0.68,120,19,176,258.82,940,995.96,2,57
CP II 40,15,21.6,0.68,130,19,183,269.12,933,975.51,2,57
CP II 40,15,21.6,0.68,140,19,190,279.41,926,955.06,2,57
CP II 40,15,21.6,0.68,70,25,133,195.59,986,1118.7,2,57
CP II 40,15,21.6,0.68,80,25,140,205.88,978,1099.21,2,57
CP II 40,15,21.6,0.68,90,25,148,217.65,970,1075.84,2,57
CP II 40,15,21.6,0.68,100,25,155,227.94,962,1056.35,2,57
CP II 40,15,21.6,0.68,110,25,163,239.71,954,1032.98,2,57
CP II 40,15,21.6,0.68,120,25,170,250,946,1013.48,2,57
CP II 40,15,21.6,0.68,130,25,178,261.76,938,990.11,2,57
CP II 40,15,21.6,0.68,140,25,185,272.06,930,970.62,2,57
CP II 40,15,21.6,0.68,70,9.5,160,235.29,980,1019.74,2,56
CP II 40,15,21.6,0.68,80,9.5,165,242.65,973,1007.05,2,56
CP II 40,15,21.6,0.68,90,9.5,170,250,968,992.44,2,56
CP II 40,15,21.6,0.68,100,9.5,175,257.35,964,976.88,2,56
CP II 40,15,21.6,0.68,110,9.5,180,264.71,958,963.23,2,56
CP II 40,15,21.6,0.68,120,9.5,185,272.06,952,949.58,2,56
CP II 40,15,21.6,0.68,130,9.5,190,279.41,947,934.97,2,56
CP II 40,15,21.6,0.68,140,9.5,195,286.76,941,921.32,2,56
CP II 40,15,21.6,0.68,70,12.5,148,217.65,993,1053.84,2,56
CP II 40,15,21.6,0.68,80,12.5,155,227.94,984,1035.31,2,56
CP II 40,15,21.6,0.68,90,12.5,161,236.76,979,1016.82,2,56
CP II 40,15,21.6,0.68,100,12.5,167,245.59,971.33,1000.89,2,56
CP II 40,15,21.6,0.68,110,12.5,173,254.41,964.33,984.32,2,56
CP II 40,15,21.6,0.68,120,12.5,180,264.71,957.33,963.87,2,56
CP II 40,15,21.6,0.68,130,12.5,186,273.53,950.33,947.3,2,56
CP II 40,15,21.6,0.68,140,12.5,192,282.35,944,930.09,2,56
CP II 40,15,21.6,0.68,70,19,142,208.82,999,1071.37,2,56
CP II 40,15,21.6,0.68,80,19,149,219.12,991,1051.88,2,56
